curator_name,profile_link,followers,recommendation
1001 Video Games You Must Play Before You Die,https://store.steampowered.com/curator/6860132-1001-Video-Games-You-Must-Play-Before-Yo/?snr=1_1050_curatorsreviewing_,"2,045",INFORMATIONAL
BroReviews,https://store.steampowered.com/curator/30240632-BroReviews/?snr=1_1050_curatorsreviewing_,"2,013",RECOMMENDED
7th Generation Gaming,https://store.steampowered.com/curator/44116626-7th-Generation-Gaming/?snr=1_1050_curatorsreviewing_,"1,509",RECOMMENDED
N3RDYG1RL REVIEWS,https://store.steampowered.com/curator/37093468-N3RDYG1RL-REVIEWS/?snr=1_1050_curatorsreviewing_,"5,964",RECOMMENDED
The Dickbutt Experience,https://store.steampowered.com/curator/7124597-The-Dickbutt-Experience/?snr=1_1050_curatorsreviewing_,"2,002",RECOMMENDED
Nintendo ®,https://store.steampowered.com/curator/5446303-Nintendo-%25C2%25AE/?snr=1_1050_curatorsreviewing_,"1,878",RECOMMENDED
Review Prizm,https://store.steampowered.com/curator/36992581-Review-Prizm/?snr=1_1050_curatorsreviewing_,"7,583",RECOMMENDED
Christ Centered Gamers,https://store.steampowered.com/curator/2140873-Christ-Centered-Gamers/?snr=1_1050_curatorsreviewing_,"1,821",RECOMMENDED
Hash Game,https://store.steampowered.com/curator/43773784-Hash-Game/?snr=1_1050_curatorsreviewing_,"1,183",RECOMMENDED
Orc Game,https://store.steampowered.com/curator/43773668-Orc-Game/?snr=1_1050_curatorsreviewing_,"1,171",RECOMMENDED
Shnitzel Reviews,https://store.steampowered.com/curator/30260249-Shnitzel-Reviews/?snr=1_1050_curatorsreviewing_,"1,760",RECOMMENDED
Destructoid,https://store.steampowered.com/curator/409-Destructoid/?snr=1_1050_curatorsreviewing_,"1,835",RECOMMENDED
Gamers with only little time,https://store.steampowered.com/curator/30757976-Gamers-with-only-little-time/?snr=1_1050_curatorsreviewing_,"1,463",RECOMMENDED
"""STAYATHOME"" LIST",https://store.steampowered.com/curator/37246047-STAYATHOME-LIST/?snr=1_1050_curatorsreviewing_,"5,965",RECOMMENDED
With the Kids,https://store.steampowered.com/curator/28220276-With-the-Kids/?snr=1_1050_curatorsreviewing_,"1,380",RECOMMENDED
Source. Gold source. Source 2 Engine groups,https://store.steampowered.com/curator/43079039-Source.-Gold-source.-Source-2-Engine-gro/?snr=1_1050_curatorsreviewing_,"1,373",RECOMMENDED
Best Ideas,https://store.steampowered.com/curator/41373465-Best-Ideas/?snr=1_1050_curatorsreviewing_,"1,963",RECOMMENDED
Just Game Review,https://store.steampowered.com/curator/41373435-Just-Game-Review/?snr=1_1050_curatorsreviewing_,"1,946",RECOMMENDED
Detailed Community,https://store.steampowered.com/curator/41373462-Detailed-Community/?snr=1_1050_curatorsreviewing_,"1,938",RECOMMENDED
Sandbox Dudes,https://store.steampowered.com/curator/6243825-Sandbox-Dudes/?snr=1_1050_curatorsreviewing_,"1,588",RECOMMENDED
King Julien!,https://store.steampowered.com/curator/39868314-King-Julien/?snr=1_1050_curatorsreviewing_,"1,276",RECOMMENDED
StrategySavants,https://store.steampowered.com/curator/44688069-StrategySavants/?snr=1_1050_curatorsreviewing_,584,RECOMMENDED
IndieInsiders,https://store.steampowered.com/curator/44687905-IndieInsiders/?snr=1_1050_curatorsreviewing_,581,RECOMMENDED
PixelPerfectionists,https://store.steampowered.com/curator/44687784-PixelPerfectionists/?snr=1_1050_curatorsreviewing_,578,RECOMMENDED
VRVoyagers,https://store.steampowered.com/curator/44687940-VRVoyagers/?snr=1_1050_curatorsreviewing_,579,RECOMMENDED
Panda's Corner,https://store.steampowered.com/curator/6858371-Panda%2527s-Corner/?snr=1_1050_curatorsreviewing_,"1,798",RECOMMENDED
Low Spec Gamers United,https://store.steampowered.com/curator/8848323-Low-Spec-Gamers-United/?snr=1_1050_curatorsreviewing_,"1,571",RECOMMENDED
GameTrailers and Previews,https://store.steampowered.com/curator/6864048-GameTrailers-and-Previews/?snr=1_1050_curatorsreviewing_,"1,681",RECOMMENDED
Completion Reviews,https://store.steampowered.com/curator/44559536-Completion-Reviews/?snr=1_1050_curatorsreviewing_,471,RECOMMENDED
Is it Mac?,https://store.steampowered.com/curator/8740498-Is-it-Mac/?snr=1_1050_curatorsreviewing_,"1,498",RECOMMENDED
local multiplayer games,https://store.steampowered.com/curator/6858217-local-multiplayer-games/?snr=1_1050_curatorsreviewing_,"1,334",RECOMMENDED
best games ever made,https://store.steampowered.com/curator/25627990-best-games-ever-made/?snr=1_1050_curatorsreviewing_,"1,328",RECOMMENDED
Platform Reviews,https://store.steampowered.com/curator/37500772-Platform-Reviews/?snr=1_1050_curatorsreviewing_,"2,408",RECOMMENDED
Da_Baby_Gaming_Central,https://store.steampowered.com/curator/40197929-Da_Baby_Gaming_Central/?snr=1_1050_curatorsreviewing_,"1,104",RECOMMENDED
Punchman's Recommends,https://store.steampowered.com/curator/9488901-Punchman%2527s-Recommends/?snr=1_1050_curatorsreviewing_,"1,204",RECOMMENDED
JonesyReviews,https://store.steampowered.com/curator/45031223-JonesyReviews/?snr=1_1050_curatorsreviewing_,985,RECOMMENDED
Games for Laptop,https://store.steampowered.com/curator/27189131-Games-for-Laptop/?snr=1_1050_curatorsreviewing_,"1,187",NOT RECOMMENDED
Handheld Friendly,https://store.steampowered.com/curator/42772030-Handheld-Friendly/?snr=1_1050_curatorsreviewing_,864,RECOMMENDED
𝐑𝐄𝐓𝐑𝐎,https://store.steampowered.com/curator/37877119-%25F0%259D%2590%2591%25F0%259D%2590%2584%25F0%259D%2590%2593%25F0%259D%2590%2591%25F0%259D%2590%258E/?snr=1_1050_curatorsreviewing_,"1,294",RECOMMENDED
Mac Game Recommendations!,https://store.steampowered.com/curator/6864127-Mac-Game-Recommendations/?snr=1_1050_curatorsreviewing_,"1,313",RECOMMENDED
No Safe Spaces,https://store.steampowered.com/curator/35807059-No-Safe-Spaces/?snr=1_1050_curatorsreviewing_,844,RECOMMENDED
MatureContent,https://store.steampowered.com/curator/45534557-MatureContent/?snr=1_1050_curatorsreviewing_,"1,340",RECOMMENDED
The Curator Page I Made to Flag AI Slop,https://store.steampowered.com/curator/45514146-The-Curator-Page-I-Made-to-Flag-AI-Slop/?snr=1_1050_curatorsreviewing_,836,RECOMMENDED
GoodGamesOnly,https://store.steampowered.com/curator/12060748-GoodGamesOnly/?snr=1_1050_curatorsreviewing_,"1,231",RECOMMENDED
Puzzling Puzzles,https://store.steampowered.com/curator/42313272-Puzzling-Puzzles/?snr=1_1050_curatorsreviewing_,"1,237",RECOMMENDED
=E=,https://store.steampowered.com/curator/33981160-E/?snr=1_1050_curatorsreviewing_,"1,091",INFORMATIONAL
The Tipster,https://store.steampowered.com/curator/7035284-The-Tipster/?snr=1_1050_curatorsreviewing_,"1,250",RECOMMENDED
Female Protagonist Games,https://store.steampowered.com/curator/34646618-Female-Protagonist-Games/?snr=1_1050_curatorsreviewing_,"1,032",RECOMMENDED
Completing the Backlog,https://store.steampowered.com/curator/5187103-Completing-the-Backlog/?snr=1_1050_curatorsreviewing_,"1,243",RECOMMENDED
Nucleus Coop,https://store.steampowered.com/curator/26348881-Nucleus-Coop/?snr=1_1050_curatorsreviewing_,"1,017",INFORMATIONAL
My Little Pony: Friendship is Magic,https://store.steampowered.com/curator/1978066-My-Little-Pony-Friendship-is-Magic/?snr=1_1050_curatorsreviewing_,"1,150",RECOMMENDED
Gprimes,https://store.steampowered.com/curator/318488-Gprimes/?snr=1_1050_curatorsreviewing_,"1,235",RECOMMENDED
