curator_name,curator_link
Panda's Corner,https://store.steampowered.com/curator/6858371-Panda%2527s-Corner/?snr=1_1050_curatorsreviewing_
Low Spec Gamers United,https://store.steampowered.com/curator/8848323-Low-Spec-Gamers-United/?snr=1_1050_curatorsreviewing_
GameTrailers and Previews,https://store.steampowered.com/curator/6864048-GameTrailers-and-Previews/?snr=1_1050_curatorsreviewing_
Completion Reviews,https://store.steampowered.com/curator/44559536-Completion-Reviews/?snr=1_1050_curatorsreviewing_
Is it Mac?,https://store.steampowered.com/curator/8740498-Is-it-Mac/?snr=1_1050_curatorsreviewing_
local multiplayer games,https://store.steampowered.com/curator/6858217-local-multiplayer-games/?snr=1_1050_curatorsreviewing_
best games ever made,https://store.steampowered.com/curator/25627990-best-games-ever-made/?snr=1_1050_curatorsreviewing_
Platform Reviews,https://store.steampowered.com/curator/37500772-Platform-Reviews/?snr=1_1050_curatorsreviewing_
Da_Baby_Gaming_Central,https://store.steampowered.com/curator/40197929-Da_Baby_Gaming_Central/?snr=1_1050_curatorsreviewing_
Punchman's Recommends,https://store.steampowered.com/curator/9488901-Punchman%2527s-Recommends/?snr=1_1050_curatorsreviewing_
JonesyReviews,https://store.steampowered.com/curator/45031223-JonesyReviews/?snr=1_1050_curatorsreviewing_
Games for Laptop,https://store.steampowered.com/curator/27189131-Games-for-Laptop/?snr=1_1050_curatorsreviewing_
Handheld Friendly,https://store.steampowered.com/curator/42772030-Handheld-Friendly/?snr=1_1050_curatorsreviewing_
𝐑𝐄𝐓𝐑𝐎,https://store.steampowered.com/curator/37877119-%25F0%259D%2590%2591%25F0%259D%2590%2584%25F0%259D%2590%2593%25F0%259D%2590%2591%25F0%259D%2590%258E/?snr=1_1050_curatorsreviewing_
Mac Game Recommendations!,https://store.steampowered.com/curator/6864127-Mac-Game-Recommendations/?snr=1_1050_curatorsreviewing_
No Safe Spaces,https://store.steampowered.com/curator/35807059-No-Safe-Spaces/?snr=1_1050_curatorsreviewing_
MatureContent,https://store.steampowered.com/curator/45534557-MatureContent/?snr=1_1050_curatorsreviewing_
The Curator Page I Made to Flag AI Slop,https://store.steampowered.com/curator/45514146-The-Curator-Page-I-Made-to-Flag-AI-Slop/?snr=1_1050_curatorsreviewing_
GoodGamesOnly,https://store.steampowered.com/curator/12060748-GoodGamesOnly/?snr=1_1050_curatorsreviewing_
Puzzling Puzzles,https://store.steampowered.com/curator/42313272-Puzzling-Puzzles/?snr=1_1050_curatorsreviewing_
=E=,https://store.steampowered.com/curator/33981160-E/?snr=1_1050_curatorsreviewing_
The Tipster,https://store.steampowered.com/curator/7035284-The-Tipster/?snr=1_1050_curatorsreviewing_
Female Protagonist Games,https://store.steampowered.com/curator/34646618-Female-Protagonist-Games/?snr=1_1050_curatorsreviewing_
